112004;+++---1001+----000++-0000--+-;0(2)0(2)0(4)0(5)0(4)0(3);9;25
101009;+-+---0122-----000-++0010+--+;0(2)2(2)1(4)0(5)0(4)0(3);15;39
110007;-+++-+1021+-+++020+++2201-+++;2(2)2(2)4(4)1(5)0(4)0(3);34;60
101015;+-+---2001----+000-+-0120-+-+;2(2)0(2)0(4)0(5)0(4)0(3);14;38
101003;+-+-++2112++-++112-++2210-++-;1(2)2(2)3(4)0(5)0(4)1(3);34;60
107008;+-++++1012++++-220+++2222-+++;2(2)2(2)3(4)5(5)2(4)3(3);48;75
101006;++++++1222+++++222++-1112-+++;2(2)2(2)0(4)3(5)4(4)0(3);45;72
113009;-+----1000-----000--+0000----;0(2)0(2)0(4)0(5)0(4)0(3);3;9
101012;++++++2112+++++212+++2221-+++;2(2)0(2)3(4)4(5)4(4)2(3);50;77
101012;++++++2222+++++222+++2222++++;2(2)2(2)4(4)5(5)4(4)3(3);60;100
111001;+++-++2102-++++221+++2221-+-+;2(2)2(2)3(4)3(5)1(4)1(3);43;69
113001;+-+---0002-----000-++1220-+--;0(2)2(2)1(4)0(5)0(4)0(3);15;39
107007;-++-+-1012+----000+--1000----;0(2)0(2)0(4)0(5)0(4)0(3);10;28
114001;+-+-++1012+---+200+--1220---+;1(2)0(2)2(4)0(5)4(4)1(3);27;52
101003;--+---1011+----001---1020-+-+;0(2)0(2)2(4)0(5)1(4)0(3);14;38
101013;+++---1002+--+-000--+2000---+;0(2)0(2)0(4)0(5)0(4)0(3);12;34
112001;--+-+-2001+-++-020-++0220-++-;0(2)1(2)1(4)0(5)2(4)1(3);23;47
101009;++++++2222+--++110+++2222++++;2(2)2(2)2(4)3(5)2(4)3(3);48;75
101012;++++++2122+++-+200+++2212++++;0(2)2(2)4(4)1(5)2(4)0(3);42;68
108006;-+----0000-+---001-+-1000----;0(2)0(2)0(4)0(5)0(4)0(3);5;14
102001;+-++++2222+++++222+++2222++++;2(2)2(2)4(4)5(5)3(4)3(3);58;95
101040;------1001-----100---0000----;0(2)0(2)0(4)0(5)0(4)0(3);3;9
101014;-++--+2112+-+++121+++2222++++;1(2)1(2)3(4)4(5)1(4)0(3);42;68
105001;+++--+0000-+---002---1200----;0(2)0(2)0(4)0(5)0(4)0(3);10;28
106007;+++-++1002-+---000-++2020-++-;2(2)0(2)0(4)0(5)1(4)0(3);20;44
101010;++++++2222+++++222+++2222++++;2(2)2(2)0(4)1(5)4(4)3(3);52;79
101019;++++++2211+++++222+++2222++++;2(2)1(2)4(4)4(5)3(4)2(3);54;83
104001;------1000-----000---0000----;0(2)0(2)0(4)0(5)0(4)0(3);1;3
102009;++++-+1102-+-+-210-++0220----;0(2)0(2)2(4)4(5)0(4)0(3);26;51
113001;+++---1012--+--101-+-1000---+;0(2)0(2)0(4)0(5)0(4)0(3);13;36
101012;+++--+2111++-++100+++0222++++;2(2)2(2)4(4)3(5)0(4)2(3);40;66
101017;+++--+2101+++++212-++2221--++;0(2)0(2)0(4)0(5)0(4)0(3);29;54
111005;++++++2202++-++222+++2221++++;0(2)2(2)4(4)0(5)0(4)3(3);45;72
101003;++++++2222+++++122+++2222++++;2(2)1(2)4(4)5(5)3(4)3(3);57;92
109001;++++++2222+++++222+++2122++-+;2(2)2(2)4(4)5(5)4(4)0(3);55;86
101002;-++---1011++---000-++0120--++;2(2)2(2)2(4)0(5)0(4)0(3);20;44
101003;+++-++2102++++-101+++1220-+++;0(2)0(2)4(4)4(5)0(4)3(3);38;64
101012;++++-+2222+++++222+++2222++++;2(2)1(2)4(4)5(5)1(4)3(3);55;86
109002;+-+---0001--+--000-+-0120----;0(2)0(2)0(4)0(5)0(4)0(3);8;23
111001;-++-++2220+++--101+++2201-+-+;2(2)2(2)3(4)3(5)0(4)0(3);35;61
101014;++++++2212+++++122+++1221++++;2(2)2(2)3(4)0(5)3(4)1(3);47;74
101009;+-+--+1002-+--+021-++1220--+-;2(2)0(2)2(4)0(5)0(4)0(3);23;47
113001;+++-+-0001-----001---0020--+-;2(2)1(2)3(4)3(5)2(4)2(3);22;46
104003;+-+--+2212+++++222++-2222++++;2(2)2(2)1(4)1(5)0(4)0(3);41;67
101003;+-++++2221++++-222+++2222++++;2(2)2(2)4(4)5(5)4(4)3(3);57;92
101009;+-++++2222+++++220+++2222++-+;2(2)2(2)4(4)5(5)4(4)3(3);56;89
101012;+-++++2222+++++222+++2222++++;2(2)1(2)4(4)5(5)4(4)3(3);58;95
101031;+-+---0001-----000---1000----;0(2)0(2)0(4)0(5)0(4)0(3);4;12
108006;++++-+1222+++++222++-2222-+++;0(2)2(2)4(4)5(5)1(4)1(3);49;76
107001;+-----1001--+--000--+0000----;0(2)0(2)0(4)0(5)0(4)0(3);5;14
112001;++++-+0012+-+++222-+-1122-+++;1(2)0(2)1(4)0(5)0(4)2(3);32;57
112005;---+--1000-+---001-++0000----;0(2)0(2)0(4)0(5)0(4)0(3);6;17
101011;+-+-++2222+++-+222+++2202++++;1(2)2(2)4(4)5(5)2(4)0(3);49;76
113002;-+----0001++---001---1000----;0(2)0(2)0(4)0(5)0(4)0(3);6;17
101006;++++++2222+++++222+++2221++++;2(2)2(2)4(4)5(5)4(4)0(3);56;89
110002;+-+-+-1201++---100+-+2120-+-+;0(2)2(2)0(4)0(5)0(4)0(3);21;45
101003;+-++++2222+++-+221+++2222++++;2(2)1(2)3(4)4(5)4(4)1(3);52;79
101004;+-++++0112++--+111+-+2021-+-+;2(2)2(2)0(4)0(5)0(4)1(3);29;54
102002;+-+---1022-+-+-001++-1000----;0(2)0(2)3(4)0(5)0(4)0(3);16;40
110006;-+----0000-----000-+-0000----;0(2)0(2)0(4)0(5)0(4)0(3);2;6
101017;++++++2222-++++222+++2222++++;0(2)1(2)0(4)2(5)4(4)1(3);47;74
102003;-++--+1001++++-000+-+0010---+;0(2)2(2)1(4)0(5)0(4)0(3);16;40
101004;------0000-----000---0000----;0(2)0(2)0(4)0(5)0(4)0(3);0;0
101014;+-+-++1012+++-+102++-1102-+++;2(2)1(2)0(4)0(5)0(4)1(3);28;53
105007;+----+2101+-+++212+-+1221-+-+;0(2)0(2)2(4)0(5)0(4)0(3);27;52
109005;+-+-++1202+-+--000-+-2020--++;0(2)2(2)0(4)0(5)0(4)0(3);20;44
101018;+---+-0012++---000-+-0020----;0(2)0(2)0(4)0(5)0(4)0(3);10;28
103006;+-+---2202--++-022--+1002--+-;0(2)1(2)0(4)0(5)0(4)0(3);20;44
110008;+-+-++2222+++--110+++2222++++;2(2)2(2)4(4)5(5)1(4)0(3);46;73
101014;++++++2122+++++120+++2221++++;2(2)2(2)4(4)5(5)0(4)1(3);49;76
101003;++++++2222+++++222+++2222++++;1(2)1(2)4(4)5(5)4(4)3(3);58;95
101006;+-----1001-----000---0010----;0(2)0(2)0(4)0(5)0(4)0(3);4;12
102001;--+---0002-----000-+-1000----;0(2)0(2)0(4)0(5)0(4)0(3);5;14
113005;++++-+2222+++++222++-2212++++;2(2)0(2)3(4)5(5)4(4)3(3);54;83
101003;-++---0012+--++000+--1020+-++;0(2)0(2)4(4)0(5)0(4)1(3);20;44
110007;-----+1102+++-+010++-0100++++;0(2)0(2)0(4)0(5)0(4)0(3);17;41
102004;+++-+-1122+++++221-++2222+--+;2(2)2(2)1(4)3(5)1(4)1(3);42;68
101029;++-+-+2011++++-111+++2102-+-+;1(2)2(2)2(4)3(5)1(4)0(3);34;60
109001;+++-++1001++++-200+++2221++++;2(2)2(2)4(4)4(5)0(4)0(3);39;65
101003;++++-+2222+++++022+++2222++++;1(2)2(2)3(4)1(5)1(4)0(3);45;72
107002;-++---0000-----000---0000----;0(2)0(2)0(4)5(5)0(4)0(3);7;20
111001;+-++++2102+++-+212++-2222+---;0(2)0(2)3(4)3(5)0(4)0(3);36;62
101018;-++-++2112+++++121++-2220---+;0(2)0(2)0(4)4(5)0(4)0(3);32;57
101005;++++++2202+++++221+++2222++++;2(2)2(2)4(4)5(5)4(4)3(3);57;92
101003;++++++2222+++++222+++2212++++;1(2)2(2)4(4)5(5)4(4)3(3);58;95
101010;+-+-+-1211++-++101+++2202-+-+;1(2)0(2)1(4)2(5)1(4)1(3);31;56
101009;++-+++2212+++++222+++2222+-++;2(2)2(2)4(4)4(5)4(4)3(3);56;89
103001;+-++++0212+++++212++-2122++++;2(2)2(2)4(4)4(5)4(4)0(3);49;76
109002;+-+---2000-----000---0000----;0(2)0(2)0(4)0(5)0(4)0(3);4;12
113005;+++--+2222+++++222+++2222++++;0(2)2(2)4(4)5(5)4(4)3(3);56;89
102004;+++-+-0002+----000-++1220--++;0(2)0(2)1(4)0(5)0(4)0(3);17;41
101019;+-+-+-1100+----001--+1010---+;0(2)0(2)4(4)0(5)0(4)1(3);16;40
101010;+-+---1002-----001---0100+-+-;0(2)0(2)0(4)0(5)0(4)0(3);9;25
113001;++++++0202-++++002++-0000----;0(2)0(2)0(4)0(5)0(4)0(3);18;42
111002;++++++2022++++-222+++0222+++-;0(2)0(2)0(4)0(5)0(4)0(3);34;60
110010;------0000-----000---0000----;0(2)0(2)0(4)0(5)0(4)0(3);0;0
104002;--+---0000-----000-+-0000----;0(2)0(2)0(4)0(5)0(4)0(3);2;6
113001;------0000-----000---0000----;0(2)0(2)0(4)0(5)0(4)0(3);0;0
